target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUST00000193878.2	6.29822066871401e-27	3.82094854978554e-26	-4.28261473044372	0.398591066507079	1.99433957548685	4.409035848093	0.0773969451542949	-0.0352296442282188	0.160915312294581	0.160915312294581
ENSMUST00000226222.2	6.31789153626795e-27	3.8316042434692e-26	4.22005005183731	0.392778573807504	2.04009608015395	4.75501080956213	0.0682308505043493	0.0188282672331842	0.163181661559035	0.163181661559035
ENSMUST00000217908.2	6.32108384048043e-27	3.8322624296886e-26	-7.85409110983481	0.731017891401908	5.87909097195305	7.66934006850353	0.794307918721794	-0.666789458150498	0.00727281760274311	0.00727281760274311
ENSMUST00000132442.2	6.3486093344311e-27	3.84766766326667e-26	-4.74117973613116	0.441300785854192	3.31485903998265	5.00441573275683	0.114372639167773	0.121263577499378	0.177746936225519	0.177746936225519
ENSMUST00000153654.11	6.42880354766903e-27	3.89497264906743e-26	-5.42928629693293	0.50540305251228	2.26261813544608	6.4064842069351	0.210583055189719	-0.170020163866345	0.172565313043377	0.172565313043377
ENSMUST00000027837.13	6.48177265639548e-27	3.9257569455385e-26	3.89318039549749	0.362435113670245	1.82337584594205	4.76868801193146	0.0454647995435955	0.0433444230407664	0.15157401788815	0.15157401788815
ENSMUST00000071718.12	6.6367989308081e-27	4.01831221549726e-26	-5.28107548632726	0.4917409117529	2.78798780169402	4.82637845418877	0.179138751162262	-0.167917459352754	0.183574935275098	0.183574935275098
ENSMUST00000041543.9	6.90041615921501e-27	4.17653141776382e-26	2.21509156678441	0.206324655698456	4.73166942129738	10.7009494147325	0.00769135436955638	-0.00389276252046591	0.0561634409540732	0.0561634409540732
ENSMUST00000134735.2	7.00794533756612e-27	4.24020325348146e-26	-4.39088157099371	0.409042982845969	2.36873933192982	5.20967622285904	0.0633695459396063	0.187604696783685	0.17598560606316	0.187604696783685
ENSMUST00000042601.9	7.03709157007916e-27	4.25642239696042e-26	4.63158148759572	0.431481364280793	3.54356566532047	4.48264639861224	0.107552170894537	0.171712080687885	0.169203915887463	0.171712080687885
ENSMUST00000023225.8	7.0896573521978e-27	4.28679148676109e-26	0.191481302191492	0.0178396742999435	8.33965015659316	0.0655688432613108	0.000382032604099052	-0.000223048580845978	9.53483645930433e-05	9.53483645930433e-05
ENSMUST00000234133.2	7.14233383395492e-27	4.31720730382094e-26	-5.99633256673065	0.558693902318663	2.94686221765263	5.68527683402793	0.283931337017776	-0.230171724314409	0.184276977714306	0.184276977714306
ENSMUST00000138468.8	7.14830641088304e-27	4.31938196017079e-26	-4.69198246357395	0.43716735584646	4.52128147783459	3.45441140381899	0.213118499343689	-0.135739643338946	0.0735544461829894	0.0735544461829894
ENSMUST00000117095.8	7.15564951764543e-27	4.32238304307323e-26	-0.988652010508697	0.0921167562859543	5.68577241511741	6.37422575051036	0.00244130933254117	-0.00177618412477217	0.0102869358504277	0.0102869358504277
ENSMUST00000216380.2	7.41818456965339e-27	4.4794801113166e-26	0.231747010536737	0.0215995183399013	8.13396346543498	0.0936526401186534	0.000566100857883922	0.000133707930889676	0.000123185264457047	0.000133707930889676
ENSMUST00000222508.2	7.4789605763078e-27	4.51468088157604e-26	-1.34747922901396	0.125597943803538	5.42503102155968	0.743255277573552	0.00667719194626517	-0.00146664880350979	0.0169850732852498	0.0169850732852498
ENSMUST00000144211.2	7.67424167595491e-27	4.6310254678921e-26	-4.07501299265959	0.379914527663478	1.79121734350264	2.59456336553953	0.0668259453201093	-0.0132498593349437	0.149676627174537	0.149676627174537
ENSMUST00000228627.3	7.7678751280245e-27	4.68597389149286e-26	-4.41859419471782	0.411989754221346	1.92539424933062	5.86909512466295	0.0972960041036095	0.0983198707419381	0.157307332271439	0.157307332271439
ENSMUST00000042497.14	7.89981573963122e-27	4.76398702494737e-26	1.09299796483864	0.101925937199287	6.74078538931594	0.225898882850511	0.00656599401733824	0.00901735099359138	0.00146819276681249	0.00901735099359138
ENSMUST00000155990.8	8.20557844220237e-27	4.94673717954182e-26	-6.16074228092697	0.574699278763885	2.72309143959462	5.65462607360299	0.312588514755048	-0.182595977711512	0.182830376762547	0.182830376762547
ENSMUST00000211414.2	8.36645562151206e-27	5.04205085633073e-26	-3.87304733863051	0.361354263033076	1.77611453788959	3.73941069928607	0.0470937838787994	0.0033696788233152	0.148771571239467	0.148771571239467
ENSMUST00000034429.9	8.40977323376112e-27	5.0664774950529e-26	-5.32904180980574	0.497220313590592	2.52766174294598	6.89468449786093	0.191021909638857	-0.186975945340565	0.179820150731833	0.179820150731833
ENSMUST00000028341.11	8.46072871915461e-27	5.09548787893987e-26	0.808098260366831	0.075402640363896	6.07569369216965	0.0794780815019509	0.00342049220310123	0.00158972070896174	0.00510784505766932	0.00510784505766932
ENSMUST00000115371.9	8.48427207367451e-27	5.10797552055584e-26	-7.3070190761983	0.681825188633361	2.92595960389486	6.8234993848479	0.51302549434046	-0.141806605559046	0.184302887441918	0.184302887441918
ENSMUST00000038341.8	8.58175034572553e-27	5.16495285532945e-26	-3.90614471503462	0.364522184566556	1.45062176713086	2.80928278161478	0.0719156093826714	0.0409584200731274	0.12739902517909	0.12739902517909
ENSMUST00000081180.7	8.62869846072074e-27	5.1914908238038e-26	0.633242292211826	0.059097077954286	7.02481891310817	0.138181517165934	0.00365065290866415	0.00158804402543828	0.000850686005999083	0.00158804402543828
ENSMUST00000163701.2	8.78498983138264e-27	5.28377629144138e-26	-6.6796855338674	0.623475576404608	2.43236178259174	9.88996794569625	0.405378017719987	-0.188167053872231	0.177704673839601	0.177704673839601
ENSMUST00000081593.13	8.92117404167435e-27	5.36391118909002e-26	0.285830701830568	0.0266827152116612	7.91751954600459	0.0678087517554413	0.000898358306842149	-0.000515544294429985	0.000169592629757773	0.000169592629757773
ENSMUST00000231360.2	9.08501826412146e-27	5.46061838029878e-26	-0.936784940263233	0.0874640027438848	5.94295440178045	0.16785521043375	0.00498497932079137	-0.000787258529252268	0.00648994834318208	0.00648994834318208
ENSMUST00000034964.7	9.11801301692133e-27	5.4786396019744e-26	-4.12509832678659	0.385156615263278	1.18918504147337	4.24214593633529	0.11408270800677	-0.102107597579813	0.108435719414827	0.108435719414827
